"ACME_control" "ACME_treated" "ADE_control" "ADE_treated" "Prop_Mediated_control" "Prop_Mediated_treated" "ACME_average" "ADE_average" "Prop_Mediated_average"
"Fp1" 0.838 0.1284 0.2478 0.1526 0.8796 0.2676 0.5772 0.1904 0.6348
"AF7" 0.9024 0.7692 0.1198 0.1228 0.9236 0.8064 0.803 0.1208 0.8382
"AF3" 0.8566 0.7338 0.1504 0.1592 0.8898 0.7962 0.742 0.1544 0.8008
"F1" 0.9226 0.8586 0.1536 0.1618 0.9534 0.9026 0.8668 0.157 0.908
"F3" 0.965 0.9332 0.1854 0.1798 0.9696 0.9274 0.9448 0.181 0.9406
"F5" 0.5984 0.2002 0.141 0.2246 0.6876 0.3602 0.4126 0.1812 0.5242
"F7" 0.5462 0.1448 0.1338 0.2158 0.6388 0.3078 0.4998 0.1698 0.582
"FT7" 0.469 0.2118 0.128 0.2112 0.5496 0.3364 0.9632 0.1594 0.9698
"FC5" 0.977 0.6876 0.1802 0.1624 0.9844 0.7218 0.742 0.1706 0.7638
"FC3" 0.6682 0.1788 0.1278 0.1546 0.71 0.3222 0.246 0.1402 0.375
"FC1" 0.9846 0.9066 0.1534 0.1516 0.9974 0.9098 0.9736 0.151 0.9624
"C1" 0.9526 0.7224 0.1718 0.1664 0.9508 0.7482 0.799 0.1676 0.8164
"C3" 0.967 0.445 0.1464 0.1646 0.9722 0.5438 0.6222 0.1556 0.6902
"C5" 0.6866 0.0616 0.0992 0.143 0.7338 0.2084 0.1656 0.1192 0.3008
"T7" 0.1746 0.4558 0.1452 0.3392 0.3232 0.5664 0.435 0.2248 0.5372
"TP7" 0.6466 0.954 0.158 0.1716 0.7048 0.9502 0.6948 0.1632 0.7366
"CP5" 0.753 0.5434 0.1578 0.1878 0.7962 0.6306 0.9254 0.1728 0.9422
"CP3" 0.6094 0.4412 0.1718 0.1734 0.6598 0.5164 0.4432 0.173 0.5196
"CP1" 0.8708 0.6462 0.1854 0.1676 0.9042 0.7096 0.8582 0.1778 0.8736
"P1" 0.9068 0.849 0.2176 0.2156 0.9184 0.871 0.849 0.2156 0.8702
"P3" 0.9566 0.9522 0.142 0.146 0.963 0.9582 0.9902 0.1446 0.9966
"P5" 0.7862 0.8572 0.162 0.1738 0.8186 0.8764 0.8766 0.1676 0.8998
"P7" 0.8024 0.9766 0.1654 0.1752 0.8222 0.9756 0.8258 0.1712 0.8388
"P9" 0.9278 0.4652 0.13 0.1706 0.9408 0.549 0.7206 0.1402 0.7628
"PO7" 0.99 0.8908 0.139 0.139 0.9904 0.8956 0.9388 0.1378 0.9436
"PO3" 0.7388 0.9434 0.2058 0.2202 0.8032 0.951 0.766 0.211 0.8144
"O1" 0.4058 0.9236 0.1758 0.2056 0.5082 0.9328 0.4714 0.1912 0.5614
"Oz" 0.782 0.9668 0.1414 0.1346 0.8134 0.977 0.8194 0.1382 0.8532
"POz" 0.6844 0.2404 0.1282 0.1518 0.753 0.377 0.2982 0.1378 0.4288
"Pz" 0.968 0.7364 0.1612 0.1548 0.965 0.783 0.8292 0.159 0.8526
"CPz" 0.6512 0.5134 0.1366 0.1392 0.7132 0.5946 0.5094 0.1372 0.5946
"Fpz" 0.8456 0.0248 0.5554 0.1886 0.8804 0.1968 0.2922 0.326 0.4178
"Fp2" 0.7642 0.0872 0.2218 0.1788 0.8 0.2338 0.2562 0.1982 0.3684
"AF8" 0.7914 0.631 0.1664 0.16 0.7942 0.6706 0.6478 0.1638 0.6826
"AF4" 0.5964 0.0068 0.3546 0.2106 0.6454 0.1682 0.056 0.2708 0.2078
"AFz" 0.7418 0.334 0.2148 0.1784 0.7712 0.4306 0.356 0.1948 0.449
"Fz" 0.4172 0.2638 0.2148 0.1446 0.5242 0.4004 0.9116 0.1758 0.9358
"F2" 0.9232 0.3606 0.1334 0.1756 0.9272 0.4854 0.4152 0.1522 0.53
"F4" 0.9776 0.9798 0.1478 0.1428 0.9944 0.993 0.9778 0.1466 0.9934
"F6" 0.7194 0.1782 0.2192 0.1754 0.7522 0.307 0.2418 0.1964 0.3586
"F8" 0.7914 0.4442 0.1856 0.1528 0.8272 0.5272 0.7582 0.1682 0.7908
"FT8" 0.8588 0.6076 0.1812 0.1642 0.8902 0.6666 0.7798 0.1716 0.8124
"FC6" 0.913 0.5426 0.1878 0.1648 0.943 0.6034 0.6654 0.1758 0.6974
